Generation,Best Score
1,2.487887757313504e+18
2,1.7431259273135066e+18
3,1.0190420273135084e+18
4,1.0190420273135084e+18
5,6.091557689801752e+17
6,6.091557689801752e+17
7,6.091557689801752e+17
8,6.091557689801752e+17
9,6.091557689801752e+17
10,6.091557689801752e+17
11,6.091557689801752e+17
12,6.091557689801752e+17
13,6.091557689801752e+17
14,6.091557689801752e+17
15,6.091557689801752e+17
16,6.091557689801752e+17
17,6.091557689801752e+17
18,6.091557689801752e+17
19,6.091557689801752e+17
20,6.091557689801752e+17
21,6.091557689801752e+17
22,6.091557689801752e+17
23,6.091557689801752e+17
24,6.091557689801752e+17
25,6.091557689801752e+17
26,6.091557689801752e+17
27,6.091557689801752e+17
28,6.091557689801752e+17
29,6.091557689801752e+17
30,6.091557689801752e+17
31,6.091557689801752e+17
32,6.091557689801752e+17
33,6.091557689801752e+17
34,6.091557689801752e+17
35,6.091557689801752e+17
36,6.091557689801752e+17
37,6.091557689801752e+17
38,6.091557689801752e+17
39,6.091557689801752e+17
40,6.091557689801752e+17
41,6.091557689801752e+17
42,6.091557689801752e+17
43,6.091557689801752e+17
44,6.091557689801752e+17
45,6.091557689801752e+17
46,6.091557689801752e+17
47,6.091557689801752e+17
48,6.091557689801752e+17
49,6.091557689801752e+17
50,6.091557689801752e+17
51,6.091557689801752e+17
52,6.091557689801752e+17
53,6.091557689801752e+17
54,6.091557689801752e+17
55,6.091557689801752e+17
56,6.091557689801752e+17
57,6.091557689801752e+17
58,6.091557689801752e+17
59,6.091557689801752e+17
60,6.091557689801752e+17
61,6.091557689801752e+17
62,6.091557689801752e+17
63,6.091557689801752e+17
64,6.091557689801752e+17
65,6.091557689801752e+17
66,6.091557689801752e+17
67,6.091557689801752e+17
68,6.091557689801752e+17
69,4.983089464801723e+17
70,4.983089464801723e+17
71,4.983089464801723e+17
72,4.983089464801723e+17
73,4.983089464801723e+17
74,4.983089464801723e+17
75,4.983089464801723e+17
76,4.983089464801723e+17
77,4.983089464801723e+17
78,4.983089464801723e+17
79,4.983089464801723e+17
80,4.983089464801723e+17
81,4.983089464801723e+17
82,4.983089464801723e+17
83,4.983089464801723e+17
84,4.983089464801723e+17
85,4.983089464801723e+17
86,4.983089464801723e+17
87,4.983089464801723e+17
88,4.983089464801723e+17
89,4.983089464801723e+17
90,4.983089464801723e+17
91,4.983089464801723e+17
92,4.983089464801723e+17
93,4.983089464801723e+17
94,4.983089464801723e+17
95,4.983089464801723e+17
96,4.983089464801723e+17
97,4.983089464801723e+17
98,4.983089464801723e+17
99,4.983089464801723e+17
100,4.983089464801723e+17
