Generation,Best Score
1,2.356059253980175e+18
2,2.356059253980175e+18
3,2.356059253980175e+18
4,2.0205843823135066e+18
5,2.0205843823135066e+18
6,2.0205843823135066e+18
7,2.0205843823135066e+18
8,1.4575778756468413e+18
9,1.4575778756468413e+18
10,7.004853564801742e+17
11,7.004853564801742e+17
12,7.004853564801742e+17
13,7.004853564801742e+17
14,7.004853564801742e+17
15,7.004853564801742e+17
16,7.004853564801742e+17
17,7.004853564801742e+17
18,7.004853564801742e+17
19,7.004853564801742e+17
20,7.004853564801742e+17
21,7.004853564801742e+17
22,7.004853564801742e+17
23,7.004853564801742e+17
24,7.004853564801742e+17
25,7.004853564801742e+17
26,7.004853564801742e+17
27,7.004853564801742e+17
28,7.004853564801742e+17
29,7.004853564801742e+17
30,7.004853564801742e+17
31,7.004853564801742e+17
32,7.004853564801742e+17
33,7.004853564801742e+17
34,7.004853564801742e+17
35,7.004853564801742e+17
36,7.004853564801742e+17
37,7.004853564801742e+17
38,7.004853564801742e+17
39,7.004853564801742e+17
40,6.493258048135049e+17
41,5.03737033980174e+17
42,5.03737033980174e+17
43,5.03737033980174e+17
44,5.03737033980174e+17
45,5.03737033980174e+17
46,5.03737033980174e+17
47,5.03737033980174e+17
48,5.03737033980174e+17
49,5.03737033980174e+17
50,5.03737033980174e+17
51,5.03737033980174e+17
52,5.03737033980174e+17
53,5.03737033980174e+17
54,5.03737033980174e+17
55,5.03737033980174e+17
56,5.03737033980174e+17
57,5.03737033980174e+17
58,5.03737033980174e+17
59,5.03737033980174e+17
60,5.03737033980174e+17
61,5.03737033980174e+17
62,5.03737033980174e+17
63,5.03737033980174e+17
64,5.03737033980174e+17
65,5.03737033980174e+17
66,4.512817456468373e+17
67,4.512817456468373e+17
68,4.512817456468373e+17
69,4.512817456468373e+17
70,4.512817456468373e+17
71,4.512817456468373e+17
72,4.512817456468373e+17
73,4.512817456468373e+17
74,4.512817456468373e+17
75,4.512817456468373e+17
76,4.512817456468373e+17
77,4.512817456468373e+17
78,4.512817456468373e+17
79,4.512817456468373e+17
80,4.512817456468373e+17
81,4.512817456468373e+17
82,4.512817456468373e+17
83,4.512817456468373e+17
84,4.512817456468373e+17
85,4.512817456468373e+17
86,4.512817456468373e+17
87,4.512817456468373e+17
88,4.512817456468373e+17
89,4.512817456468373e+17
90,4.512817456468373e+17
91,4.512817456468373e+17
92,4.512817456468373e+17
93,4.512817456468373e+17
94,4.512817456468373e+17
95,4.512817456468373e+17
96,4.512817456468373e+17
97,4.512817456468373e+17
98,4.512817456468373e+17
99,4.512817456468373e+17
100,4.512817456468373e+17
