Generation,Best Score
1,1.8155883112460495e+18
2,1.8155883112460495e+18
3,1.8155883112460495e+18
4,1.8155883112460495e+18
5,1.8155883112460495e+18
6,1.8155883112460495e+18
7,1.8155883112460495e+18
8,1.8155883112460495e+18
9,1.8155883112460495e+18
10,1.8155883112460495e+18
11,1.8155883112460495e+18
12,1.8155883112460495e+18
13,1.8155883112460495e+18
14,1.8155883112460495e+18
15,1.8155883112460495e+18
16,1.8155883112460495e+18
17,1.8155883112460495e+18
18,1.8155883112460495e+18
19,1.8155883112460495e+18
20,1.8155883112460495e+18
21,1.8155883112460495e+18
22,1.8155883112460495e+18
23,1.8155883112460495e+18
24,1.8155883112460495e+18
25,1.8155883112460495e+18
26,1.8155883112460495e+18
27,1.8155883112460495e+18
28,1.8155883112460495e+18
29,1.8155883112460495e+18
30,1.8155883112460495e+18
31,1.8155883112460495e+18
32,1.8155883112460495e+18
33,1.8155883112460495e+18
34,1.8155883112460495e+18
35,7.390958479127181e+17
36,7.390958479127181e+17
37,7.390958479127181e+17
38,7.390958479127181e+17
39,7.390958479127181e+17
40,7.390958479127181e+17
41,7.390958479127181e+17
42,7.390958479127181e+17
43,7.390958479127181e+17
44,7.390958479127181e+17
45,7.390958479127181e+17
46,7.390958479127181e+17
47,7.390958479127181e+17
48,7.390958479127181e+17
49,7.390958479127181e+17
50,7.390958479127181e+17
51,7.390958479127181e+17
52,7.390958479127181e+17
53,7.390958479127181e+17
54,7.390958479127181e+17
55,7.390958479127181e+17
56,7.390958479127181e+17
57,7.390958479127181e+17
58,7.390958479127181e+17
59,7.390958479127181e+17
60,7.390958479127181e+17
61,7.390958479127181e+17
62,7.007987045793843e+17
63,7.007987045793843e+17
64,7.007987045793843e+17
65,7.007987045793843e+17
66,7.007987045793843e+17
67,7.007987045793843e+17
68,7.007987045793843e+17
69,7.007987045793843e+17
70,7.007987045793843e+17
71,7.007987045793843e+17
72,7.007987045793843e+17
73,7.007987045793843e+17
74,7.007987045793843e+17
75,7.007987045793843e+17
76,7.007987045793843e+17
77,7.007987045793843e+17
78,7.007987045793843e+17
79,7.007987045793843e+17
80,7.007987045793843e+17
81,7.007987045793843e+17
82,7.007987045793843e+17
83,7.007987045793843e+17
84,7.007987045793843e+17
85,7.007987045793843e+17
86,7.007987045793843e+17
87,7.007987045793843e+17
88,7.007987045793843e+17
89,7.007987045793843e+17
90,7.007987045793843e+17
91,7.007987045793843e+17
92,7.007987045793843e+17
93,7.007987045793843e+17
94,7.007987045793843e+17
95,7.007987045793843e+17
96,7.007987045793843e+17
97,7.007987045793843e+17
98,7.007987045793843e+17
99,7.007987045793843e+17
100,7.007987045793843e+17
