Generation,Best Score
1,2.8051702379127265e+18
2,2.447180210412722e+18
3,2.447180210412722e+18
4,2.447180210412722e+18
5,2.447180210412722e+18
6,2.447180210412722e+18
7,2.447180210412722e+18
8,2.447180210412722e+18
9,2.447180210412722e+18
10,2.447180210412722e+18
11,2.447180210412722e+18
12,2.447180210412722e+18
13,2.447180210412722e+18
14,2.447180210412722e+18
15,2.447180210412722e+18
16,2.447180210412722e+18
17,2.447180210412722e+18
18,2.1133965279127158e+18
19,2.1133965279127158e+18
20,2.1133965279127158e+18
21,2.1133965279127158e+18
22,2.1133965279127158e+18
23,2.1133965279127158e+18
24,2.1133965279127158e+18
25,2.1133965279127158e+18
26,2.1133965279127158e+18
27,2.1133965279127158e+18
28,2.1133965279127158e+18
29,2.1133965279127158e+18
30,2.1133965279127158e+18
31,2.1133965279127158e+18
32,2.1133965279127158e+18
33,2.1133965279127158e+18
34,2.1133965279127158e+18
35,2.1133965279127158e+18
36,2.1133965279127158e+18
37,2.1133965279127158e+18
38,2.1133965279127158e+18
39,2.1133965279127158e+18
40,1.3411400812460454e+18
41,1.3411400812460454e+18
42,1.3411400812460454e+18
43,1.3411400812460454e+18
44,1.3411400812460454e+18
45,1.3411400812460454e+18
46,1.3411400812460454e+18
47,1.3411400812460454e+18
48,1.3411400812460454e+18
49,1.3411400812460454e+18
50,1.3411400812460454e+18
51,1.3411400812460454e+18
52,1.3411400812460454e+18
53,1.3411400812460454e+18
54,1.3411400812460454e+18
55,1.3411400812460454e+18
56,1.3411400812460454e+18
57,1.3411400812460454e+18
58,1.3411400812460454e+18
59,1.3411400812460454e+18
60,1.3411400812460454e+18
61,1.3411400812460454e+18
62,1.3411400812460454e+18
63,1.3411400812460454e+18
64,1.3411400812460454e+18
65,1.3411400812460454e+18
66,1.3411400812460454e+18
67,1.3411400812460454e+18
68,1.3411400812460454e+18
69,1.3411400812460454e+18
70,1.3411400812460454e+18
71,1.3411400812460454e+18
72,1.3411400812460454e+18
73,1.3411400812460454e+18
74,1.3411400812460454e+18
75,1.3411400812460454e+18
76,1.3411400812460454e+18
77,1.3411400812460454e+18
78,1.3411400812460454e+18
79,1.3411400812460454e+18
80,1.3411400812460454e+18
81,1.3411400812460454e+18
82,1.3411400812460454e+18
83,1.3411400812460454e+18
84,1.3411400812460454e+18
85,1.3411400812460454e+18
86,1.3411400812460454e+18
87,1.3411400812460454e+18
88,1.3411400812460454e+18
89,1.3411400812460454e+18
90,1.3411400812460454e+18
91,1.3411400812460454e+18
92,1.3411400812460454e+18
93,1.3411400812460454e+18
94,1.3411400812460454e+18
95,1.3411400812460454e+18
96,1.3411400812460454e+18
97,1.3411400812460454e+18
98,1.3411400812460454e+18
99,1.3411400812460454e+18
100,1.3411400812460454e+18
