Generation,Best Score
1,9.497555880938254e+17
2,9.497555880938254e+17
3,9.497555880938254e+17
4,5.713489047604905e+17
5,5.713489047604905e+17
6,5.713489047604905e+17
7,5.713489047604905e+17
8,3.759852480938232e+17
9,3.759852480938232e+17
10,3.759852480938232e+17
11,3.759852480938232e+17
12,3.759852480938232e+17
13,3.759852480938232e+17
14,3.759852480938232e+17
15,3.759852480938232e+17
16,3.759852480938232e+17
17,3.759852480938232e+17
18,3.759852480938232e+17
19,3.759852480938232e+17
20,3.759852480938232e+17
21,3.759852480938232e+17
22,3.759852480938232e+17
23,3.759852480938232e+17
24,3.759852480938232e+17
25,3.759852480938232e+17
26,3.759852480938232e+17
27,3.759852480938232e+17
28,3.759852480938232e+17
29,3.759852480938232e+17
30,3.759852480938232e+17
31,3.759852480938232e+17
32,3.759852480938232e+17
33,3.759852480938232e+17
34,3.759852480938232e+17
35,3.759852480938232e+17
36,3.759852480938232e+17
37,3.759852480938232e+17
38,3.759852480938232e+17
39,3.759852480938232e+17
40,3.759852480938232e+17
41,3.759852480938232e+17
42,3.759852480938232e+17
43,2.593927797604913e+17
44,2.593927797604913e+17
45,2.593927797604913e+17
46,2.593927797604913e+17
47,2.593927797604913e+17
48,2.593927797604913e+17
49,2.593927797604913e+17
50,2.593927797604913e+17
51,2.593927797604913e+17
52,2.593927797604913e+17
53,2.593927797604913e+17
54,2.593927797604913e+17
55,2.593927797604913e+17
56,2.593927797604913e+17
57,2.593927797604913e+17
58,2.593927797604913e+17
59,2.593927797604913e+17
60,2.593927797604913e+17
61,2.593927797604913e+17
62,2.593927797604913e+17
63,2.593927797604913e+17
64,2.593927797604913e+17
65,2.593927797604913e+17
66,2.593927797604913e+17
67,2.593927797604913e+17
68,2.593927797604913e+17
69,2.593927797604913e+17
70,2.593927797604913e+17
71,2.593927797604913e+17
72,2.593927797604913e+17
73,2.593927797604913e+17
74,2.593927797604913e+17
75,2.593927797604913e+17
76,2.593927797604913e+17
77,2.593927797604913e+17
78,2.593927797604913e+17
79,2.593927797604913e+17
80,2.593927797604913e+17
81,2.593927797604913e+17
82,2.4604887976049424e+17
83,2.4604887976049424e+17
84,2.4604887976049424e+17
85,2.4604887976049424e+17
86,2.4604887976049424e+17
87,2.4604887976049424e+17
88,2.4604887976049424e+17
89,2.4604887976049424e+17
90,2.4604887976049424e+17
91,2.4604887976049424e+17
92,2.4604887976049424e+17
93,2.4604887976049424e+17
94,2.4604887976049424e+17
95,2.4604887976049424e+17
96,2.4604887976049424e+17
97,2.4604887976049424e+17
98,2.4604887976049424e+17
99,2.4604887976049424e+17
100,2.4604887976049424e+17
