Iteration,Best Score
1,1.586918814009642e+19
1,1.5236847515277754e+19
2,1.4445520265343693e+19
3,1.3763462140393148e+19
4,1.3563882452942604e+19
5,1.273428445299206e+19
6,1.1088579453074475e+19
7,9.706030390656487e+18
8,8.861558557356537e+18
9,7.399829182438962e+18
10,7.051919182488416e+18
11,6.130505332570841e+18
12,6.026110732653267e+18
13,6.024675232719205e+18
14,6.024675232719205e+18
15,4.918934107801632e+18
16,4.471174899583694e+18
17,4.0905970996496333e+18
18,3.5831545997320586e+18
19,2.847869899814486e+18
20,2.5476816048804255e+18
21,2.5476816048804255e+18
22,2.090481855012305e+18
23,1.819214880078245e+18
24,1.7143907551276997e+18
25,1.561711380210125e+18
26,1.40685138029255e+18
27,1.2695545803749747e+18
28,1.2695545803749747e+18
29,1.0927233305398252e+18
30,8.401983305892801e+17
31,8.401983305892801e+17
32,8.401983305892801e+17
33,8.200208307706152e+17
34,5.6836249751970675e+17
35,4.419104142358284e+17
36,4.375724143182535e+17
37,2.8290021438419315e+17
38,2.8290021438419315e+17
39,1.705406145325582e+17
40,1.705406145325582e+17
41,1.140656146314682e+17
42,5.203806469740819e+16
43,3.2949939779833204e+16
44,2.4754314862258204e+16
45,2.4754314862258204e+16
46,2.4754314862258204e+16
47,1.9384735076563212e+16
48,1.9384735076563212e+16
49,1.9384735076563212e+16
50,1.9384735076563212e+16
51,1.9384735076563212e+16
52,1.9384735076563212e+16
53,1.9384735076563212e+16
54,1.9384735076563212e+16
55,1.9384735076563212e+16
56,1.9384735076563212e+16
57,1.9384735076563212e+16
58,1.0470402468569876e+16
59,1.0470402468569876e+16
60,1.0470402468569876e+16
61,1.0470402468569876e+16
62,1.0470402468569876e+16
63,9280402765299874.0
64,9280402765299874.0
65,9280402765299874.0
66,9280402765299874.0
67,9280402765299874.0
68,6111653127969876.0
69,6111653127969876.0
70,6111653127969876.0
71,6111653127969876.0
72,6111653127969876.0
73,6111653127969876.0
74,6111653127969876.0
75,6111653127969876.0
76,6111653127969876.0
77,6111653127969876.0
78,6111653127969876.0
79,6111653127969876.0
80,6111653127969876.0
81,6111653127969876.0
82,6111653127969876.0
83,6111653127969876.0
84,6111653127969876.0
85,6111653127969876.0
86,6111653127969876.0
87,6111653127969876.0
88,6111653127969876.0
89,6111653127969876.0
90,6111653127969876.0
91,6111653127969876.0
92,6111653127969876.0
93,6111653127969876.0
94,6111653127969876.0
95,6111653127969876.0
96,6111653127969876.0
97,6111653127969876.0
98,6111653127969876.0
99,6111653127969876.0
100,6111653127969876.0
101,6111653127969876.0
102,6111653127969876.0
