Generation,Best Score
1,2.188940969813509e+18
2,1.428421224813508e+18
3,1.428421224813508e+18
4,1.428421224813508e+18
5,1.428421224813508e+18
6,1.428421224813508e+18
7,1.428421224813508e+18
8,1.428421224813508e+18
9,1.428421224813508e+18
10,1.428421224813508e+18
11,1.428421224813508e+18
12,1.428421224813508e+18
13,1.428421224813508e+18
14,1.428421224813508e+18
15,6.663870373135054e+17
16,6.663870373135054e+17
17,6.663870373135054e+17
18,6.663870373135054e+17
19,6.663870373135054e+17
20,6.663870373135054e+17
21,6.663870373135054e+17
22,6.663870373135054e+17
23,6.663870373135054e+17
24,6.663870373135054e+17
25,6.663870373135054e+17
26,6.663870373135054e+17
27,6.663870373135054e+17
28,6.663870373135054e+17
29,6.663870373135054e+17
30,4.8606666898017344e+17
31,4.8606666898017344e+17
32,4.8606666898017344e+17
33,4.8606666898017344e+17
34,4.8606666898017344e+17
35,4.8606666898017344e+17
36,4.8606666898017344e+17
37,4.8606666898017344e+17
38,4.8606666898017344e+17
39,4.8606666898017344e+17
40,4.8606666898017344e+17
41,4.8606666898017344e+17
42,4.8606666898017344e+17
43,4.8606666898017344e+17
44,4.8606666898017344e+17
45,4.8606666898017344e+17
46,4.8606666898017344e+17
47,4.8606666898017344e+17
48,4.8606666898017344e+17
49,4.8606666898017344e+17
50,4.8606666898017344e+17
51,4.8606666898017344e+17
52,4.8606666898017344e+17
53,4.8606666898017344e+17
54,4.8606666898017344e+17
55,4.8606666898017344e+17
56,4.8606666898017344e+17
57,4.8606666898017344e+17
58,4.8606666898017344e+17
59,4.8606666898017344e+17
60,2.6062407481350762e+17
61,2.6062407481350762e+17
62,2.6062407481350762e+17
63,2.6062407481350762e+17
64,2.6062407481350762e+17
65,2.6062407481350762e+17
66,2.6062407481350762e+17
67,2.6062407481350762e+17
68,2.6062407481350762e+17
69,2.6062407481350762e+17
70,2.6062407481350762e+17
71,2.6062407481350762e+17
72,2.6062407481350762e+17
73,2.6062407481350762e+17
74,2.6062407481350762e+17
75,2.6062407481350762e+17
76,2.6062407481350762e+17
77,2.6062407481350762e+17
78,2.6062407481350762e+17
79,2.6062407481350762e+17
80,2.6062407481350762e+17
81,2.6062407481350762e+17
82,2.6062407481350762e+17
83,2.6062407481350762e+17
84,2.6062407481350762e+17
85,2.6062407481350762e+17
86,2.6062407481350762e+17
87,2.6062407481350762e+17
88,2.6062407481350762e+17
89,2.6062407481350762e+17
90,2.6062407481350762e+17
91,2.6062407481350762e+17
92,2.6062407481350762e+17
93,2.6062407481350762e+17
94,2.6062407481350762e+17
95,2.6062407481350762e+17
96,2.6062407481350762e+17
97,2.6062407481350762e+17
98,2.6062407481350762e+17
99,2.6062407481350762e+17
100,2.6062407481350762e+17
