Area,Total Plates,Average Height,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8
0,164,335.75,282.0,329.0,289.0,408.0,263.0,408.0,390.0,317.0
1,172,361.625,479.0,433.0,425.0,246.0,365.0,399.0,350.0,196.0
2,157,421.6666666666667,369.0,459.0,466.0,444.0,387.0,405.0,,
3,173,700.25,603.0,610.0,815.0,773.0,,,,
4,170,705.0,842.0,642.0,574.0,762.0,,,,
5,164,688.75,806.0,669.0,710.0,570.0,,,,
