Area,Total Plates,Average Height,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8
0,163,330.75,327.0,302.0,356.0,296.0,310.0,286.0,361.0,408.0
1,179,367.875,344.0,419.0,301.0,343.0,462.0,384.0,334.0,356.0
2,164,453.0,444.0,469.0,423.0,432.0,444.0,506.0,,
3,169,711.25,746.0,725.0,759.0,615.0,,,,
4,160,649.75,815.0,578.0,690.0,516.0,,,,
5,165,683.5,581.0,525.0,718.0,910.0,,,,
