Area,Total Plates,Average Height,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8
0,159,331.75,285.0,449.0,292.0,435.0,423.0,258.0,186.0,326.0
1,171,350.625,241.0,375.0,504.0,338.0,313.0,216.0,464.0,354.0
2,157,449.1666666666667,421.0,405.0,400.0,534.0,455.0,480.0,,
3,170,674.0,680.0,693.0,747.0,576.0,,,,
4,172,699.25,759.0,700.0,718.0,620.0,,,,
5,171,709.5,815.0,711.0,712.0,600.0,,,,
