Area,Total Plates,Average Height,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8
0,167,354.75,398.0,488.0,409.0,355.0,293.0,309.0,260.0,326.0
1,152,305.5,335.0,309.0,389.0,237.0,295.0,288.0,272.0,319.0
2,192,505.6666666666667,595.0,396.0,547.0,428.0,598.0,470.0,,
3,124,508.5,622.0,453.0,532.0,427.0,,,,
4,184,774.75,714.0,754.0,803.0,828.0,,,,
5,181,759.0,694.0,855.0,659.0,828.0,,,,
