Area,Total Plates,Average Height,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8
0,145,312.5,220.0,307.0,376.0,369.0,287.0,263.0,320.0,358.0
1,155,315.75,302.0,325.0,321.0,300.0,358.0,360.0,286.0,274.0
2,180,484.0,453.0,483.0,572.0,486.0,408.0,502.0,,
3,177,723.5,829.0,763.0,693.0,609.0,,,,
4,147,620.75,681.0,583.0,680.0,539.0,,,,
5,196,794.5,803.0,742.0,826.0,807.0,,,,
