Area,Total Plates,Average Height,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8
0,169,348.5,343.0,327.0,276.0,309.0,376.0,389.0,416.0,352.0
1,164,332.875,384.0,225.0,239.0,400.0,319.0,433.0,317.0,346.0
2,177,475.8333333333333,490.0,425.0,552.0,369.0,632.0,387.0,,
3,166,689.0,610.0,640.0,776.0,730.0,,,,
4,165,695.5,769.0,700.0,692.0,621.0,,,,
5,159,660.25,450.0,686.0,774.0,731.0,,,,
