Area,Total Plates,Average Height,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8
0,167,340.25,415.0,344.0,241.0,323.0,350.0,304.0,402.0,343.0
1,168,344.75,299.0,512.0,375.0,300.0,384.0,278.0,258.0,352.0
2,165,453.6666666666667,469.0,518.0,367.0,332.0,602.0,434.0,,
3,168,703.75,729.0,688.0,817.0,581.0,,,,
4,152,648.5,575.0,691.0,787.0,541.0,,,,
5,180,718.5,793.0,679.0,552.0,850.0,,,,
