Area,Total Plates,Average Height,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8
0,167,348.25,447.0,327.0,376.0,268.0,402.0,392.0,385.0,189.0
1,167,336.375,236.0,386.0,238.0,442.0,413.0,337.0,338.0,301.0
2,180,483.0,599.0,400.0,546.0,409.0,462.0,482.0,,
3,152,637.25,555.0,714.0,733.0,547.0,,,,
4,164,687.0,667.0,694.0,652.0,735.0,,,,
5,170,703.25,672.0,615.0,694.0,832.0,,,,
