Generation,Best Score
1,1.2872444955938273e+18
2,1.2872444955938273e+18
3,1.2872444955938273e+18
4,1.2872444955938273e+18
5,1.2872444955938273e+18
6,1.2872444955938273e+18
7,1.2872444955938273e+18
8,1.2872444955938273e+18
9,7.729878947604905e+17
10,7.729878947604905e+17
11,7.729878947604905e+17
12,7.399234880938237e+17
13,7.399234880938237e+17
14,6.337880764271598e+17
15,3.861936305938251e+17
16,3.861936305938251e+17
17,3.861936305938251e+17
18,3.861936305938251e+17
19,3.861936305938251e+17
20,3.861936305938251e+17
21,3.861936305938251e+17
22,3.861936305938251e+17
23,3.861936305938251e+17
24,3.861936305938251e+17
25,3.861936305938251e+17
26,3.861936305938251e+17
27,3.861936305938251e+17
28,3.861936305938251e+17
29,3.861936305938251e+17
30,2.967090005938262e+17
31,2.967090005938262e+17
32,2.967090005938262e+17
33,2.967090005938262e+17
34,2.967090005938262e+17
35,2.967090005938262e+17
36,2.967090005938262e+17
37,2.967090005938262e+17
38,2.967090005938262e+17
39,2.967090005938262e+17
40,2.967090005938262e+17
41,2.967090005938262e+17
42,2.967090005938262e+17
43,2.967090005938262e+17
44,2.967090005938262e+17
45,2.967090005938262e+17
46,2.967090005938262e+17
47,2.967090005938262e+17
48,2.967090005938262e+17
49,2.967090005938262e+17
50,2.967090005938262e+17
51,2.967090005938262e+17
52,2.967090005938262e+17
53,2.967090005938262e+17
54,2.967090005938262e+17
55,2.967090005938262e+17
56,2.967090005938262e+17
57,2.967090005938262e+17
58,2.967090005938262e+17
59,2.967090005938262e+17
60,2.967090005938262e+17
61,2.967090005938262e+17
62,2.967090005938262e+17
63,2.967090005938262e+17
64,2.967090005938262e+17
65,2.967090005938262e+17
66,2.967090005938262e+17
67,2.967090005938262e+17
68,2.967090005938262e+17
69,2.967090005938262e+17
70,2.967090005938262e+17
71,2.967090005938262e+17
72,2.967090005938262e+17
73,2.967090005938262e+17
74,2.967090005938262e+17
75,2.967090005938262e+17
76,2.967090005938262e+17
77,2.967090005938262e+17
78,2.967090005938262e+17
79,2.967090005938262e+17
80,2.967090005938262e+17
81,2.967090005938262e+17
82,2.967090005938262e+17
83,2.967090005938262e+17
84,2.967090005938262e+17
85,2.967090005938262e+17
86,2.967090005938262e+17
87,2.967090005938262e+17
88,2.967090005938262e+17
89,2.967090005938262e+17
90,2.967090005938262e+17
91,2.967090005938262e+17
92,2.967090005938262e+17
93,2.967090005938262e+17
94,2.967090005938262e+17
95,2.967090005938262e+17
96,2.967090005938262e+17
97,2.967090005938262e+17
98,2.967090005938262e+17
99,2.967090005938262e+17
100,2.967090005938262e+17
