Iteration,Best Score
1,5.609150054760497e+18
1,5.609150054761723e+18
2,5.609150054761723e+18
3,5.507311513095056e+18
4,5.342721673095054e+18
5,5.342721673095054e+18
6,5.307489798095056e+18
7,5.307489798095056e+18
8,4.726483548095056e+18
9,4.726483548095056e+18
10,4.4151375480950554e+18
11,4.4151375480950554e+18
12,4.4151375480950554e+18
13,4.4151375480950554e+18
14,4.4151375480950554e+18
15,4.4151375480950554e+18
16,4.4151375480950554e+18
17,4.4151375480950554e+18
18,4.3339006230950543e+18
19,3.961570623095054e+18
20,3.8168326230950533e+18
21,3.783706998095053e+18
22,3.783706998095053e+18
23,3.783706998095053e+18
24,3.783706998095053e+18
25,3.783706998095053e+18
26,3.783706998095053e+18
27,3.7590444980950533e+18
28,3.7590444980950533e+18
29,3.1494057480950523e+18
30,3.1494057480950523e+18
31,2.612021373095052e+18
32,2.612021373095052e+18
33,2.612021373095052e+18
34,2.428488039761717e+18
35,2.428488039761717e+18
36,1.8488362897617172e+18
37,1.8061155397617175e+18
38,1.7266655397617172e+18
39,1.7266655397617172e+18
40,1.7266655397617172e+18
41,1.3492211647617167e+18
42,1.0839461647617165e+18
43,6.451273822617165e+17
44,5.233357822617165e+17
45,5.233357822617165e+17
46,5.233357822617165e+17
47,5.233357822617165e+17
48,4.1794803226171565e+17
49,4.1794803226171565e+17
50,4.1794803226171565e+17
51,4.1794803226171565e+17
52,3.493980322617155e+17
53,3.493980322617155e+17
54,3.493980322617155e+17
55,3.493980322617155e+17
56,3.493980322617155e+17
57,3.493980322617155e+17
58,3.493980322617155e+17
59,3.493980322617155e+17
60,3.493980322617155e+17
61,3.493980322617155e+17
62,3.493980322617155e+17
63,3.493980322617155e+17
64,3.493980322617155e+17
65,3.493980322617155e+17
66,3.493980322617155e+17
67,1.969459072617147e+17
68,1.969459072617147e+17
69,1.969459072617147e+17
70,1.4014090726171448e+17
71,1.4014090726171448e+17
72,1.374510322617144e+17
73,1.374510322617144e+17
74,1.374510322617144e+17
75,1.374510322617144e+17
76,7.304478226171362e+16
77,7.304478226171362e+16
78,7.304478226171362e+16
79,7.304478226171362e+16
80,7.304478226171362e+16
81,7.304478226171362e+16
82,5.181040726171361e+16
83,5.181040726171361e+16
84,5.181040726171361e+16
85,4.931196976171343e+16
86,4.931196976171343e+16
87,4.931196976171343e+16
88,4.931196976171343e+16
