Generation,Best Score
1,9.915113297604941e+17
2,9.915113297604941e+17
3,9.915113297604941e+17
4,9.915113297604941e+17
5,9.915113297604941e+17
6,8.147104505938272e+17
7,8.147104505938272e+17
8,8.147104505938272e+17
9,6.225680314271557e+17
10,6.225680314271557e+17
11,6.225680314271557e+17
12,6.225680314271557e+17
13,6.225680314271557e+17
14,6.225680314271557e+17
15,6.225680314271557e+17
16,6.225680314271557e+17
17,6.225680314271557e+17
18,6.225680314271557e+17
19,6.225680314271557e+17
20,6.225680314271557e+17
21,6.225680314271557e+17
22,6.225680314271557e+17
23,6.225680314271557e+17
24,6.225680314271557e+17
25,6.225680314271557e+17
26,6.225680314271557e+17
27,6.225680314271557e+17
28,6.225680314271557e+17
29,6.225680314271557e+17
30,6.225680314271557e+17
31,6.225680314271557e+17
32,2.7435091892715875e+17
33,2.7435091892715875e+17
34,2.7435091892715875e+17
35,2.7435091892715875e+17
36,2.7435091892715875e+17
37,2.7435091892715875e+17
38,2.7435091892715875e+17
39,2.7435091892715875e+17
40,2.7435091892715875e+17
41,2.7435091892715875e+17
42,2.7435091892715875e+17
43,2.7435091892715875e+17
44,2.7435091892715875e+17
45,2.7435091892715875e+17
46,2.7435091892715875e+17
47,2.7435091892715875e+17
48,2.7435091892715875e+17
49,2.7435091892715875e+17
50,2.7435091892715875e+17
51,2.7435091892715875e+17
52,2.7435091892715875e+17
53,2.7435091892715875e+17
54,2.7435091892715875e+17
55,2.7435091892715875e+17
56,2.7435091892715875e+17
57,2.7435091892715875e+17
58,2.7435091892715875e+17
59,2.7435091892715875e+17
60,2.7435091892715875e+17
61,2.7435091892715875e+17
62,2.7435091892715875e+17
63,2.7435091892715875e+17
64,2.7435091892715875e+17
65,2.7435091892715875e+17
66,2.7435091892715875e+17
67,2.7435091892715875e+17
68,2.7435091892715875e+17
69,2.7435091892715875e+17
70,2.7435091892715875e+17
71,2.7435091892715875e+17
72,2.7435091892715875e+17
73,2.7435091892715875e+17
74,2.7435091892715875e+17
75,2.7435091892715875e+17
76,2.7435091892715875e+17
77,2.7435091892715875e+17
78,2.7435091892715875e+17
79,2.7435091892715875e+17
80,2.7435091892715875e+17
81,2.7435091892715875e+17
82,2.7435091892715875e+17
83,2.7435091892715875e+17
84,2.7435091892715875e+17
85,2.7435091892715875e+17
86,2.7435091892715875e+17
87,2.7435091892715875e+17
88,2.7435091892715875e+17
89,2.550169847604898e+17
90,2.550169847604898e+17
91,2.550169847604898e+17
92,2.550169847604898e+17
93,2.550169847604898e+17
94,2.550169847604898e+17
95,2.550169847604898e+17
96,2.550169847604898e+17
97,2.550169847604898e+17
98,2.550169847604898e+17
99,2.550169847604898e+17
100,2.550169847604898e+17
