Area,Total Plates,Average Height,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8
0,97,204.25,158.0,237.0,208.0,261.0,123.0,252.0,210.0,185.0
1,105,211.375,250.0,160.0,219.0,223.0,260.0,137.0,155.0,287.0
2,100,278.1666666666667,165.0,281.0,427.0,346.0,278.0,172.0,,
3,104,422.0,441.0,360.0,461.0,426.0,,,,
4,97,407.25,465.0,445.0,375.0,344.0,,,,
5,97,382.25,192.0,497.0,517.0,323.0,,,,
