Area,Total Plates,Average Height,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8
0,133,281.25,352.0,236.0,396.0,297.0,282.0,242.0,214.0,231.0
1,134,266.5,269.0,263.0,197.0,318.0,282.0,271.0,257.0,275.0
2,127,344.1666666666667,466.0,293.0,396.0,291.0,333.0,286.0,,
3,133,532.75,331.0,716.0,546.0,538.0,,,,
4,135,541.0,533.0,675.0,407.0,549.0,,,,
5,138,551.0,670.0,431.0,561.0,542.0,,,,
