Area,Total Plates,Average Height,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8
0,159,322.75,301.0,271.0,342.0,346.0,357.0,287.0,356.0,322.0
1,138,276.625,302.0,352.0,298.0,280.0,190.0,280.0,281.0,230.0
2,129,348.0,403.0,362.0,310.0,403.0,336.0,274.0,,
3,129,539.0,598.0,548.0,489.0,521.0,,,,
4,107,414.0,491.0,387.0,366.0,412.0,,,,
5,138,562.75,552.0,638.0,520.0,541.0,,,,
