Area,Total Plates,Average Height,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8
0,134,277.875,196.0,356.0,292.0,258.0,274.0,424.0,265.0,158.0
1,131,266.25,332.0,229.0,251.0,233.0,360.0,239.0,192.0,294.0
2,128,346.5,383.0,368.0,235.0,455.0,401.0,237.0,,
3,145,556.0,635.0,401.0,580.0,608.0,,,,
4,130,529.75,448.0,464.0,688.0,519.0,,,,
5,132,542.75,534.0,607.0,426.0,604.0,,,,
