Area,Total Plates,Average Height,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8
0,167,349.125,339.0,357.0,346.0,258.0,344.0,421.0,378.0,350.0
1,166,348.25,337.0,269.0,307.0,423.0,420.0,299.0,380.0,351.0
2,161,453.5,463.0,489.0,400.0,440.0,515.0,414.0,,
3,170,657.25,686.0,462.0,718.0,763.0,,,,
4,165,675.5,673.0,770.0,547.0,712.0,,,,
5,171,713.5,660.0,831.0,902.0,461.0,,,,
