Area,Total Plates,Average Height,Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8
0,163,349.125,280.0,464.0,470.0,277.0,386.0,323.0,274.0,319.0
1,172,353.125,221.0,224.0,424.0,336.0,306.0,338.0,502.0,474.0
2,177,484.1666666666667,544.0,576.0,518.0,441.0,395.0,431.0,,
3,165,667.5,903.0,588.0,546.0,633.0,,,,
4,163,687.5,636.0,797.0,690.0,627.0,,,,
5,160,635.5,729.0,600.0,591.0,622.0,,,,
