Iteration,Best Score
1,7.903785120303487e+19
2,7.696313988319894e+19
3,7.525359008326489e+19
4,7.517832289584731e+19
5,7.428844789589675e+19
6,7.414286164596269e+19
7,6.741875127104513e+19
8,6.563623808361107e+19
9,6.410983560864405e+19
10,6.031572829622647e+19
11,6.031572829622647e+19
12,5.7774997358841864e+19
13,5.55248323589243e+19
14,5.55248323589243e+19
15,5.308068813907265e+19
16,5.1341026614155076e+19
17,5.0212745214204535e+19
18,4.789713511425398e+19
19,4.509056442683642e+19
20,4.258127109692134e+19
21,4.140356123028514e+19
22,3.975322203036757e+19
23,3.819333627041702e+19
24,3.666770745796647e+19
25,3.4994902258015932e+19
26,3.3179262883098358e+19
27,3.2365516633164292e+19
28,3.1501445733246718e+19
29,2.948764613332914e+19
30,2.9331642558362108e+19
31,2.7747948183460487e+19
32,2.6834736633526964e+19
33,2.5145567566942183e+19
34,2.501005775449217e+19
35,2.431001525459096e+19
36,2.356633265465704e+19
37,2.0101229454706495e+19
38,1.959984845478892e+19
39,1.902174470485486e+19
40,1.7524484504904317e+19
41,1.701620300498674e+19
42,1.701620300498674e+19
43,1.4435405588468441e+19
44,1.408927590100141e+19
45,1.2359157021083834e+19
46,1.1562293271133284e+19
47,1.0753876429549044e+19
48,9.790266589631468e+18
49,8.412299674697405e+18
50,7.604466862263345e+18
51,7.604466862263345e+18
52,7.141128142395225e+18
53,6.6659312757945e+18
54,5.838245609193773e+18
55,5.701541409285592e+18
56,5.445058284342138e+18
57,4.4217447844080783e+18
58,3.2790980344740183e+18
59,2.74725334703996e+18
60,2.2855522671059003e+18
61,1.888287683854992e+18
62,1.7349121589209318e+18
63,1.5881194090033567e+18
64,1.493945209069297e+18
65,1.2201783558019034e+18
66,1.2201783558019034e+18
67,6.371574559337834e+17
68,6.371574559337834e+17
69,6.371574559337834e+17
70,4.455173061151184e+17
71,4.455173061151184e+17
72,3.919923062634834e+17
73,3.919923062634834e+17
74,3.919923062634834e+17
75,3.919923062634834e+17
76,3.919923062634834e+17
77,1.338139315593012e+17
78,8.75659316096682e+16
79,3.2989845008941536e+16
80,2.7873345091366536e+16
81,2.7873345091366536e+16
82,2.7873345091366536e+16
83,2.7873345091366536e+16
84,2.5787820305671524e+16
85,2.5787820305671524e+16
86,2.2572820421066544e+16
87,2.2572820421066544e+16
88,2.2572820421066544e+16
